"Source:","E:\Github\x399 Burn In\x399_Burn_In\PCBs\x399 Burn In v0_0_6LC\x399 Burn In v0_0_6LC.kicad_sch"
"Date:","4/7/2025 8:28:51 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","E:\KICad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","57"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Breaking Capacity (A AC)","Breaking Capacity (A DC)","Color","Comment","Current (A)","Current Rating (A)","DCR","DCR (max)","Diameter","Distributor","Distributor PN","Drive Type","Energy (J)","For","Gain","Has Hole","Head Type","Height","I (max)","ID","Ic","If (mA)","Imax","Imax (DC)","Iout","Iout Max","MFG","MFG PN","Matching Ratio","Material","Mating Connector PN","Max ACV","Max DCV","Max Voltage","Melting I2T","Min ESR(mΩ)","Mounting Type","Name","Number of elements","OD","Pmax","Power","Power / element (mW)","Ratio Drift (PPM/°C)","Response Time","Schematic Only","Sim.Device","Sim.Pins","Sim.Type","Size","Surge Current (A)","Symbol","TCR (PPM/°C)","Technology","Temp Co","Thread Size","Tolerance","Tolerance (%)","Type","Varistor Voltage (max)","Varistor Voltage (min)","Vce","Vdropout@I","Vf","Vf@If (max)","Vin (max)","Vin (min)","VinMax","Vmax (DC)","Voltage","Voltage (v)","Vout","Vr (max)","Wattage (W)","Wavelength","Z@Freq"
"1","1","AC-DC1","18V 1A 18W","Danakil_database:PSUs - Wall Wart/18V 1A 18W Wall Wart  ","Connectors:CUI_PJ-002B","https://globtek.secure.force.com/spec/?id=01t0c0000097CKB","","","","","","1","","","","","Digikey","1939-2007-ND","","","","","","","","","","","","","","","","GlobTek, Inc.","WR9HH1000LCP-F(R6B)","","","PJ-002B","","","","","","","18V 1A 18W Wall Wart  ","","","","","","","","","","","","","","0Dan_PSUs_WallWarts:WR9HH1000LCP-F(R6B)","","","","","","","","","","","","","","","","","","","18","","","18","",""
"2","2","C1, C3","10u","Danakil_database:Capacitors - Unpolarized/10uF 25V 1206 X5R SMD MLCC  ","Capacitors_SMD:C_1206_3216Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL31A106KAHNNNE_SS.pdf","","","","","","","","","","","Digikey","1276-1075-1-ND","","","","","","","","","","","","","","","","Samsung Electro-Mechanics","CL31A106KAHNNNE","","","","","","","","","SMD","10uF 25V 1206 X5R SMD MLCC  ","","","","","","","","","","","","1206","","0Dan_Passives:C","","MLCC","X5R","","","","","","","","","","","","","","","25","","","","","",""
"3","2","C2, C7","100n","Danakil_database:Capacitors - Unpolarized/100nF 50V 1206 X7R SMD MLCC  ","Capacitors_SMD:C_1206_3216Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1256/CL31B104KBCNNNC_Spec.pdf","","","","","","","","","","","Digikey","1276-1017-1-ND","","","","","","","","","","","","","","","","Samsung Electro-Mechanics","CL31B104KBCNNNC","","","","","","","","","SMD","100nF 50V 1206 X7R SMD MLCC  ","","","","","","","","","","","","1206","","0Dan_Passives:C","","MLCC","X7R","","","","","","","","","","","","","","","50","","","","","",""
"4","2","C4, C5","4.7u","Danakil_database:Capacitors - Unpolarized/4.7uF 25V 1206 X7R SMD MLCC  ","Capacitors_SMD:C_1206_3216Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL31B475KAHNNNE_Spec.pdf","","","","","","","","","","","Digikey","1276-1055-1-ND","","","","","","","","","","","","","","","","Samsung Electro-Mechanics","CL31B475KAHNNNE","","","","","","","","","SMD","4.7uF 25V 1206 X7R SMD MLCC  ","","","","","","","","","","","","1206","","0Dan_Passives:C","","MLCC","X7R","","","","","","","","","","","","","","","25","","","","","",""
"5","5","C6, C8, C9, C10, C11","1u","Danakil_database:Capacitors - Unpolarized/1uF 50V 0805 Y5V SMD MLCC  ","Capacitors_SMD:C_0805_2012Metric","https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05Y105KP6VPN","","","","","","","","","","","Digikey","1276-6495-1-ND","","","","","","","","","","","","","","","","Samsung Electro-Mechanics","CL21F105ZBFNNNG","","","","","","","","","SMD","1uF 50V 0805 Y5V SMD MLCC  ","","","","","","","","","","","","0805","","0Dan_Passives:C","","MLCC","Y5V","","","","","","","","","","","","","","","50","","","","","",""
"6","1","D1","Schottky 40V 2A SMD","Danakil_database:Discreet - Diodes - Schottky/Schottky 40V 2A SMD  ","Diodes:D_SOD-123F","https://www.panjit.com.tw/upload/datasheet/SS2040LL.pdf","","","","","","","","","","","Digikey","3757-SS2040LL_R1_00001CT-ND","","","","","","","","2A","","","","","","","","Panjit International Inc.","SS2040LL_R1_00001","","","","","","","","","SMD","Schottky 40V 2A SMD  ","","","","","","","","","","1=K 2=A","","","","0Dan_Discreet:Diode_Schottky","","","","","","","","","","","","","0.45V@2A","","","","","","","","40V","","",""
"7","5","D2, D3, D4, D5, D6","Green 3mm","Danakil_database:LEDs - Standard - Indicator - Through Hole/Green 3mm 560nm 2.2v 20mA  ","Discreet_TH:LED_3mm_wurth","https://www.we-online.com/components/products/datasheet/151031VS06000.pdf","","","","Green","","","","","","","Digikey","732-5008-ND","","","","","","","","","","","20","","","","","Würth Elektronik","151031VS06000","","","","","","","","","","Green 3mm 560nm 2.2v 20mA  ","","","","","","","","","","","","3mm","","0Dan_Discreet:LED","","","","","","","","","","","","2.2","","","","","","","","","","","560",""
"8","4","D7, D8, D9, D10","Schottky 40V 0.12A SMD","Danakil_database:Discreet - Diodes - Schottky/Schottky 40V 0.12A SMD Dual CC","Discreet_SMD:SOT-23-3_1","https://assets.nexperia.com/documents/data-sheet/BAS40-05.pdf","","","","","Dual CC","","","","","","Digikey","1727-4235-1-ND","","","","","","","","0.12A","","","","","","","","Nexperia USA Inc.","BAS40-05,215","","","","","","","","","SMD","Schottky 40V 0.12A SMD Dual CC","","","","","","","","","","","","","","0Dan_Discreet:Diode_Schottky_BAS40-05","","","","","","","","","","","","","1V@40mA","","","","","","","","40V","","",""
"9","1","DC-DC1","3.3v 0.6A Buck","Danakil_database:PSUs - PCB Mount - DC-DC - Non-Isolated/Buck 6v-28v to 3.3v0.6A","DCDC_NonIso:R-78E-0.5","https://recom-power.com/pdf/Innoline/R-78E-0.5.pdf","","","","","","","","","","","Digikey","945-1661-5-ND","","","","","","","","","","","","","","0.6A","","Recom Power","R-78E3.3-0.5","","","","","","","","","","Buck 6v-28v to 3.3v0.6A","","","","","","","","","","","","","","0Dan_PSUs:78xx Replacement","","","","","","","Buck","","","","","","","28v","6v","","","","","3.3v","","","",""
"10","1","F1","125VAC/63VDC 1A F","Danakil_database:Protection - Fuses/125VAC/63VDC 1A F SMD  ","Protection_Fuses:Fuse_1206","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-c1f-series.pdf","","100","50","","","","1","","","","Digikey","5923-C1F1CT-ND","","","","","","","","","","","","","","","","Bel Fuse Inc.","C1F 1","","","","","","","0.012","","SMD","125VAC/63VDC 1A F SMD  ","","","","","","","F","","","","","","","0Dan_Protection:Fuse","","","","","","","","","","","","","","","","","","","","","","","",""
